title,description,article_text,publication_datetime,header_photo_url,keywords,authors,source_url
Александр Акопов уходит с поста гендиректора СТС,Акопов решил сосредоточиться на продюсерской и образовательной деятельности,"Известный продюсер   покидает «Национальную медиа группу» (НМГ), в которую входят телеканалы РЕН ТВ, СТС, «Домашний», «Пятый канал» и газета «Известия». Об этом сообщается на сайте компании. Акопов занимал должности заместителя директора группы и генерального директора СТС. В НМГ отметили, что он решил сосредоточиться на продюсерской и образовательной деятельности. Акопов известен как основатель компании «Амедиа» и ее стримингового сервиса «Амедиатека». Он также является продюсером популярных сериалов, таких как «Моя прекрасная няня» (2004–2009), «Не родись красивой» (2005–2006) и «Закрытая школа» (2011–2012). Ранее Акопов в интервью   честно рассказал о проблемах российского кино, засилье сериалов и нехватке профессионалов. По его словам, даже профессионалы с трудом отделяют свое собственное мнение о фильме от мнения основной массы зрителей.",27 февраля 2025 13:01,https://s14.stc.yc.kpcdn.net/share/i/12/14351161/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6253071-ttps-54-14-32173D-990-l-85-m-1.t-10-6253071-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T13-01-41.jpg,"акопов,стс,продюсер,группа,компания,тв,сериал,медиа,александр,телеканал",Ева СТЕКЛОВА,https://www.kp.ru/online/news/6253071/
от украинских ресурсов: переговоры с Киевом уже ведутся,Лекорню: Париж обсуждает с Киевом разработку ресурсов Украины для ОПК Франции,"Франция внезапно захотела заполучить часть украинских ресурсов. Глава Минобороны страны     заявил, что переговоры с Киевом о получении доступа к сырью уже ведутся. Причем с октября. Слова главы оборонного ведомства прозвучали в эфире радио  . Как отметил Лекорню, Франция заинтересовалась украинскими ресурсами на фоне действий США. Вашингтон, как известно, уже давно хочет получить от Киева редкоземельные материалы. Причем на сумму 500 миллиардов долларов. И, видимо, Париж захотел чего-то подобного. Поэтому еще в октябре 2024 года начал вести переговоры с Киевом на тему ресурсов. Франция хочет получить их, чтобы использовать для модернизации собственного оборонно-промышленного комплекса. «Нашей оборонной промышленности понадобится определенное количество ключевого сырья для наших собственных систем вооружений, не в 2026 году, а в течение следующих 30 или 40 лет, и нам нужно диверсифицировать это», - сказал Лекорню. Он также добавил, что подобным образом Париж не пытается добиться «возврата средств», потраченных на Украину. Более того, Лекорню заверил, что однажды глава киевского режима     сам предлагал ему подобную сделку. Впрочем, пока Украина пытается разобраться с США. Вашингтон   по сделке по ресурсам, но Киев отказывается что-либо подписывать. Зеленский   о неких «гарантиях безопасности».",27 февраля 2025 13:03,https://s15.stc.yc.kpcdn.net/share/i/12/14351163/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6253073-ttps-54-14-32173D-990-l-85-m-1.t-10-6253073-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T13-03-01.jpg,"киев,франция,ресурс,лекорень,сша,вашингтон,париж,украина,октябрь,минобороны",Марк СОКОЛОВ,https://www.kp.ru/online/news/6253073/
почему Центробанк отложил внедрение новой электронной валюты,Набиуллина: Массовое внедрение цифрового рубля случится позже запланированного,"Глава Центрального банка России   сегодня, 27 февраля 2025 года, сообщила, что цифровой рубль будет введён в массовое обращение позже, чем планировалось, так как он ещё не прошёл все необходимые донастройки и тесты. «(Сначала –  ) отработаем все детали в пилоте и проведём консультации с банками по экономической модели, которая наиболее привлекательна для их клиентов, для бизнеса, для людей. И новую дату массового запуска мы сможем назвать позже», - заявила Набиуллина. На данный момент известно, что в тестировании пилотного запуска цифрового рубля задействованы порядка 30 российских компаний и около 1,7 тыс. граждан. Кто конкретно - пока не озвучивается. Напомним, что KP.RU опубликовал   о том, что такое цифровой рубль, зачем он нужен, в чём польза и так далее. Если вкратце, то это новая форма денег в России, которая будет иметь собственный виртуальный код. Фактически, это тот же рубль, что лежит на банковских карточках миллионов россиян и сейчас, только все транзакции с ним проводятся без полноценного участия коммерческих банков. Этакая немного самостоятельная версия национальной валюты. Изначально предполагалось, что цифровой рубль появится уже в 2025 году, однако теперь это под вопросом. Тестируют эту валюту ещё с 2022 года. К слову, обменивать цифровой рубль нигде отдельно не понадобится - он полностью эквивалентен обычному рублю, и электронный кошелёк можно будет пополнить в любой момент, просто внеся нужную сумму. Один из главных плюсов цифрового рубля - экономия. Так как операции проводит непосредственно Центробанк, при оплате граждане будут избегать комиссии коммерческих банков. Ещё один позитивный момент - прямой контроль ЦБ за всеми операциями, а следовательно - минимальный шанс на мошенничество и несоблюдение условий сделки, оплаченной цифровым рублём. Впрочем, кому-то это может показаться и минусом, а ещё при оплате таким образом пропадёт система кэшбека, что может не понравиться её поклонникам.",27 февраля 2025 13:09,https://s13.stc.yc.kpcdn.net/share/i/12/14351177/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6253085-ttps-54-14-32173D-990-l-85-m-1.t-10-6253085-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T13-09-10.jpg,"рубль,набиуллин,россия,банк,момент,год,ред,прим,запуск,гражданин",Сергей КУДРИН,https://www.kp.ru/online/news/6253085/
МО Польши сообщило о пролетевшем над Балтикой бомбардировщике США B-52,Полет бомбардировщика B-52 прошел в рамках совместных учений ВВС Польши и США,"Стратегический бомбардировщик Boeing B-52H Stratofortress Вооруженных сил (ВС) США пролетел над Балтийским морем, чтобы продемонстрировать силу американских войск и приверженность обеспечению безопасности НАТО. Об этом в четверг, 27 февраля, сообщило Министерство обороны Польши. В военном ведомстве отметили, что полет прошел в рамках совместных учений Воздушно-военных сил (ВВС) Польши и США. В ходе учений бомбардировщик сопровождали польские истребители F-16 с 31-й тактической авиабазы в Кшесинах. «B-52H был отправлен в Европу, чтобы продемонстрировать силу США и приверженность обеспечению безопасности НАТО», - сказано в заявлении министерства. Днем ранее, 26 февраля, президент Польши     республики принять на своей территории все американские войска, которые сейчас размещены в ФРГ. Таким образом глава государства ответил на слова вице-президента США   о возможном пересмотре военного присутствия в Германии.",27 февраля 2025 13:19,https://s09.stc.yc.kpcdn.net/share/i/12/14351216/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6253124-ttps-54-14-32173D-990-l-85-m-1.t-10-6253124-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T13-19-01.jpg,"сша,польша,нато,сила,министерство,приверженность,обеспечение,бомбардировщик,февраль,вс",Елизавета КУЗНЕЦОВА,https://www.kp.ru/online/news/6253124/
Ради будущего спасенной в Крыму кошки Муси проводят опрос,За поиск нового дома для скинутой у Ласточкиного гнезда кошки проголосовали 58%,"Судьбу кошки Муси, спасенной у замка «Ласточкино Гнездо» в Крыму, решают с помощью опроса, в котором уже приняли участие около 30 тысяч человек. Глава администрации Ялты   организовала опрос в своем Telegram-канале, предложив три варианта дальнейшей судьбы Муси: передача в дом новым хозяевам, проживание при администрации города или жизнь в специально построенном домике у замка «Ласточкино Гнездо». На полдень 27 февраля большинство участников опроса (58%) поддержали вариант, при котором кошка найдет дом с любящими хозяевами. За возвращение Муси к замку в специальный домик проголосовали 31%, а 11% высказались за создание условий для кошки в администрации города. Опрос вызвал активное обсуждение: в комментариях (более 500) пользователи высказывают свои мнения не только о Мусе, но и о других кошках, обитающих возле замка. Напомним, инцидент произошел в Гаспре, где мужчина, гуляя по террасе замка, заметил кошку по кличке Муся. Животное проживало на территории около 10 лет, став местной достопримечательностью и любимицей как сотрудников, так и посетителей. Кошка доверяла людям, поэтому легко пошла на руки к мужчине. Однако вместо того, чтобы проявить заботу, он поднял животное и  .",27 февраля 2025 13:16,https://s13.stc.yc.kpcdn.net/share/i/12/14351211/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6253120-ttps-54-14-32173D-990-l-85-m-1.t-10-6253120-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T13-16-07.jpg,"замок,кошка,опрос,муся,гнездо,человек,крым,судьба,ялта,павленко",Ева СТЕКЛОВА,https://www.kp.ru/online/news/6253120/
Подполье сообщило о ликвидации нескольких сотрудников СБУ,Лебедев: около десяти сотрудников СБУ были уничтожены ударом ВС РФ в Запорожье,"Российскими военными было нанесено два удара по закрытому комплексу зданий СБУ в Запорожье. Об этом сообщил представитель подполья   в интервью изданию РИА Новости. Также он отметил, что результатом удара стало ликвидация около десяти сотрудников СБУ. «После удара приехало несколько машин скорой помощи, а сотрудники МЧС пытались найти выживших сотрудников СБУ», — заявил Лебедев в разговоре с журналистами. Лидер подполья отметил, что один БПЛА влетел в окно, расположенное на четвертом этаже здания. Практически сразу начался пожар. На место происшествия вместе с машинами скорой помощи приехали пожарные службы. В подполье отметили, что кроме десяти погибших, еще четыре человека получили ранения. Ранее   сообщил, что подпольщик Лебедев заявил о подготовке группы военных ВСУ в возрасте от 18 лет. По его словам, ВСУ уже к маю подготовят несколько подразделений с 18-летними военными.",27 февраля 2025 13:20,https://s15.stc.yc.kpcdn.net/share/i/12/14351231/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6253135-ttps-54-14-32173D-990-l-85-m-1.t-10-6253135-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T13-20-32.jpg,"лебедев,запорожье,риа,военный,подполье,сотрудник,здание,удар,машина,помощь",Людмила МИТРОХИНА,https://www.kp.ru/online/news/6253135/
"""И замок Пугачевой я купил""","Ведущий шоу ""Поле Чудес"" прокомментировал слухи о тайной недвижимости","Ведущий капитал-шоу ""Поле чудес""   ответил на слухи о тайном имуществе. Об этом сообщает сайт  . Ранее в Telegram-каналах появилась информация, что у Якубовича на протяжении многих лет якобы есть роскошное жилье в Хамовниках стоимостью 202 млн рублей, которое он скрывает от общественности. Помимо того, сообщалось, что у Якубович якобы владеет замком и домом с огромной баней. ""Баня площадью две тысячи квадратных метров с бассейном и газированной водой! И замок Грязи я купил у Пугачевой"", — иронизировал ведущий в беседе с 360.ru. Ситуацию прокомментировал и концертный директор артиста Табриз Шахиди. По его словам, появившаяся в сети информация не соответствует действительности. ""Лоботрясам, как обычно, нечем заняться. Нет же, пишут об этой квартире уже лет 10! О том, что у него в Питере огромная квартира! Это чепуха и откровенный бред. И три участка по 40 гектаров, самолет Як-40 тоже у него есть!"" — сказал он. В прошлом году сообщалось, что телеведущий Леонид Якубович   за 10 миллионов рублей.",27 февраля 2025 13:14,https://s11.stc.yc.kpcdn.net/share/i/12/14351206/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6253115-ttps-54-14-32173D-990-l-85-m-1.t-10-6253115-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T13-14-51.jpg,"якубович,год,леонид,млн,рубль,информация,замок,хамовники,баня,пугачёв",Юлия ВАСИЛЬЕВА,https://www.kp.ru/online/news/6253115/
На Западе оценили политику Трампа в отношении украинского конфликта: пострадает Европа,NYT: Трамп погубит Европу из-за конфликта на Украине,"Политика президента США   в отношении урегулирования конфликта на Украине и сокращения американской помощи приведет «к гибели» Европы. В этом уверены аналитики издания   (NYT). «Даже нет сомнения, что он стремится разрушить Европу, начав с Украины», — отмечается в статье. Также издание пишет, что администрация Трампа видит в ЕС конкурента как в экономическом, так и в идеологическом плане. Именно поэтому Трамп скидывает ответственность за украинский конфликт на Европу. Действия лидера США подтверждают его слова о том, что Европа была создана, чтобы «пользоваться Соединенными Штатами». Трампа не устраивает это положение дел, поэтому он стал действовать более решительно, отмечается в статье NYT. Напомним, вице-президент США   на последней Мюнхенской конференции   некоторых европейских политиков и заявил, что ЕС посягает на демократические принципы.",27 февраля 2025 13:06,https://s11.stc.yc.kpcdn.net/share/i/12/14351174/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6253080-ttps-54-14-32173D-990-l-85-m-1.t-10-6253080-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T13-06-06.jpg,"европа,сша,трамп,украина,ес,издание,конфликт,президент,статья,вэнс",Людмила МИТРОХИНА,https://www.kp.ru/online/news/6253080/
Кассационный суд отказал комику Руслану Белому* в снятии статуса иноагента,Кассационная жалоба Руслана Белого* оставлена без удовлетворения,"Второй кассационный суд общей юрисдикции без оставил жалобу удовлетворения Руслана Белого* на отказ исключить его из реестра иностранных агентов. Об этом сообщили в суде. «Кассационная жалоба оставлена без удовлетворения», - приводит РИА Новости сообщение суда. Напомним, Министерство юстиций РФ внесло Руслана Белого* в реестр   в сентябре 2023 года из-за поддержки и финансирования со стороны стран Евросоюза и СНГ. Комик изначально обжаловал решение в Замоскворецком суде, однако получил отказ в удовлетворении иска. Затем Московский городской суд признал законным решение Министерства юстиций РФ.",27 февраля 2025 13:01,https://s16.stc.yc.kpcdn.net/share/i/12/14351158/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6253067-ttps-54-14-32173D-990-l-85-m-1.t-10-6253067-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T13-01-25.jpg,"рф,суд,агент,удовлетворение,жалоба,отказ,реестр,руслан,риа,евросоюз",Елизавета КУЗНЕЦОВА,https://www.kp.ru/online/news/6253067/
На Западе сообщили об отказе Украины подписывать меморандум о металлах с Байденом,NYT: Украина отказалась подписать меморандум с Байденом после победы Трампа,"Киев отказался подписывать меморандум о взаимопонимании с администрацией 46 президента США   после победы на выборах  . Об этом пишет The New York Times. Документ, от которого отказались украинские власти, предусматривал бы своевременное информирование Киевом американского правительства о потенциальных проектах в вопросе полезных ископаемых. Отмечается, что Украина должна была подписать такой документ дважды. Тем не менее, вице-премьер Украины   не появилась на встрече в назначенные дни. Позже украинские власти заявили о планах подписать это соглашение с Трампом, который уже одержал победу на выборах. Накануне   сообщил, что глава киевского режима   вскоре прибудет с визитом в США. В Вашингтоне собираются подписать   Украины, в том числе о редкоземельных металлах. При этом, как отмечается многими,   объема ресурсов у Украины нет, а Киев пытается обмануть Вашингтон.",27 февраля 2025 12:51,https://s13.stc.yc.kpcdn.net/share/i/12/14351126/cr-1200-630.wm-nspru-100-tl-0-0.t-10-6253036-ttps-54-14-32173D-990-l-85-m-1.t-10-6253036-ttps-54-14-FFF-990-l-85-m-1.t-4-1475127-asb-42-10-FFF-788-l-210-b-60.m2025-02-27T12-51-54.jpg,"украина,киев,трамп,сша,вашингтон,выборы,победа,власть,свириденко,соглашение",Елизавета КУЗНЕЦОВА,https://www.kp.ru/online/news/6253036/
